INDV	O(HOM)	E(HOM)	N_SITES	F
RP8DM5r597MN13_	4145370	4143664.7	4745222	0.00283
FN0170712.06.41.01.M5_	4108275	4105988.9	4695124	0.00388
R18C55Dhaar437MN13_	4149133	4146290.0	4747911	0.00473
2012CM7F040P05_	4164204	4160002.5	4763868	0.00696
5R39C03Dr334cMN12_	4157328	4149623.3	4751538	0.01280
FN0175143.05.06.01.M5_	4121168	4112722.0	4703452	0.01430
2012DM8F016P02_	4167100	4157838.0	4761256	0.01535
2012CM8F030P07_	4166058	4154120.5	4753975	0.01990
FN0173217.03.09.01.M5_	4116099	4103252.9	4692036	0.02182
2012CM7F040P07_	4167687	4152744.9	4752349	0.02492
2012CM8F030P09_	4169205	4153888.2	4753785	0.02553
FN0175501.x2.02.01.M5_	4135347	4120141.9	4712217	0.02568
2012CM7F040P06_	4146859	4163954.9	4772165	-0.02811
FN0112885.02.06.03.M5_	4092282	4108958.9	4699476	-0.02824
2012CM8F030P02_	4169175	4150307.7	4752060	0.03135
2012BM7F223_	4175607	4153466.0	4754961	0.03681
FN0170228.07.35.01.M5_	4125372	4103689.5	4691552	0.03688
FN0164160.03.02.01.01.M6_	4115370	4092295.6	4678527	0.03936
FN0131633.06.01.M4_	4127635	4103442.7	4691905	0.04111
FN0164472.x3.06.01.M5_	4147465	4122724.6	4715421	0.04174
4R30C22acr626MN13_	4132115	4157382.1	4762148	-0.04178
R52C55Dadr564MN13_	4176481	4145632.6	4745790	0.05140
FN0171501.01.02.M4_	4131966	4101541.5	4691765	0.05155
FN0112228.06.02.01.M5_	4128459	4097815.7	4685329	0.05216
FN0190069.01.01.M4_	4133987	4102470.2	4690079	0.05364
FN0172932.09.08.01.M5_	4179002	4094755.1	4681251	0.14364
FN0163764.04.01.M4_	4195699	4081434.9	4664307	0.19604
6R40C84Dar41dMNB12_	3837753	4150499.0	4763042	-0.51057
2012BM7F068_	3829745	4181923.1	4805842	-0.56446
1R36C56Cdbbr418MN13_	3218149	4132716.6	4759458	-1.45924
