INDV	O(HOM)	E(HOM)	N_SITES	F
1R36C56Cdbbr418MN13_	890556	917872.6	993890	-0.35935
6R40C84Dar41dMNB12_	908327	864969.2	935492	0.61481
R18C55Dhaar437MN13_	1144818	1073015.2	1160215	0.82343
RP8DM5r597MN13_	1145011	1070378.8	1160438	0.82870
FN0175501.x2.02.01.M5_	1175865	1095693.4	1189663	0.85317
2012CM7F040P06_	1180243	1098362.5	1193070	0.86456
4R30C22acr626MN13_	1114919	1041092.4	1126474	0.86467
5R39C03Dr334cMN12_	1148279	1072666.5	1160101	0.86479
FN0112885.02.06.03.M5_	1177474	1095841.9	1190206	0.86508
2012CM8F030P07_	1177739	1097735.6	1190149	0.86571
2012CM7F040P07_	1176925	1096917.7	1189217	0.86682
FN0175143.05.06.01.M5_	1174294	1092738.3	1186795	0.86709
2012CM8F030P09_	1176903	1096829.4	1189042	0.86836
2012CM7F040P05_	1182176	1099922.2	1194598	0.86879
FN0112228.06.02.01.M5_	1172018	1090515.6	1184304	0.86900
2012DM8F016P02_	1181894	1099614.5	1194273	0.86922
FN0131633.06.01.M4_	1172999	1091401.0	1185262	0.86935
FN0173217.03.09.01.M5_	1175026	1093138.6	1187239	0.87021
2012CM8F030P02_	1179694	1097509.6	1191938	0.87034
FN0164160.03.02.01.01.M6_	1172006	1090410.6	1184143	0.87051
FN0164472.x3.06.01.M5_	1178431	1096321.1	1190630	0.87065
FN0171501.01.02.M4_	1169075	1087568.0	1181174	0.87075
FN0170712.06.41.01.M5_	1175814	1093933.3	1187953	0.87089
2012BM7F223_	1181068	1098747.4	1193270	0.87091
FN0170228.07.35.01.M5_	1169839	1088410.4	1181900	0.87099
R52C55Dadr564MN13_	1149384	1072652.6	1160743	0.87105
FN0172932.09.08.01.M5_	1156881	1076203.3	1168693	0.87229
FN0190069.01.01.M4_	1167619	1086245.0	1179473	0.87285
FN0163764.04.01.M4_	1126218	1047654.6	1137315	0.87623
2012BM7F068_	944410	1079550.9	1172241	-1.45799
