INDV	N_DATA	N_GENOTYPES_FILTERED	N_MISS	F_MISS
PI_597387	9586709	0	2436933	0.254199
PI_366121	9586709	0	2294712	0.239364
PI_594599	9586709	0	1561059	0.162836
PI_248515	9586709	0	1322955	0.137999
PI_458515	9586709	0	1317639	0.137444
PI_088788	9586709	0	975060	0.10171
PI_378702	9586709	0	869688	0.0907181
PI_407184	9586709	0	863550	0.0900778
PI_483463-soja	9586709	0	823287	0.085878
PI_567516C	9586709	0	810657	0.0845605
PI_468915	9586709	0	727724	0.0759097
PI_424088	9586709	0	702834	0.0733134
PI_424079	9586709	0	695527	0.0725512
PI_548511	9586709	0	692082	0.0721918
PI_567519	9586709	0	687270	0.0716899
PI_605869A	9586709	0	658488	0.0686876
PI_438258	9586709	0	658255	0.0686633
PI_603497	9586709	0	653842	0.068203
PI_417015	9586709	0	636086	0.0663508
PI_398614	9586709	0	634071	0.0661406
PI_639740	9586709	0	624863	0.0651801
PI_079691-4	9586709	0	612146	0.0638536
PI_407162-soja	9586709	0	605445	0.0631546
PI_424078	9586709	0	599314	0.0625151
PI_086006	9586709	0	597287	0.0623037
PI_200508	9586709	0	586200	0.0611472
PI_567731	9586709	0	581055	0.0606105
PI_567305	9586709	0	576494	0.0601347
PI_471938	9586709	0	573404	0.0598124
PI_548317	9586709	0	558415	0.0582489
PI_467312	9586709	0	554831	0.057875
PI_518751	9586709	0	550247	0.0573969
PI_561271	9586709	0	543297	0.0566719
PI_567690	9586709	0	542935	0.0566341
PI_567387	9586709	0	538270	0.0561475
PI_437863A	9586709	0	531982	0.0554916
PI_548667	9586709	0	531193	0.0554093
PI_087631-1	9586709	0	526674	0.0549379
PI_398610	9586709	0	521396	0.0543874
FC_31721	9586709	0	520838	0.0543292
PI_593258	9586709	0	513660	0.0535804
PI_464920B	9586709	0	513102	0.0535222
PI_407965	9586709	0	510766	0.0532786
PI_548349	9586709	0	508539	0.0530463
PI_567611	9586709	0	508510	0.0530432
PI_594012	9586709	0	506620	0.0528461
PI_437679	9586709	0	504186	0.0525922
PI_398595	9586709	0	502836	0.0524514
PI_548657	9586709	0	500431	0.0522005
PI_437725	9586709	0	497038	0.0518466
PI_475783B	9586709	0	494123	0.0515425
PI_087617	9586709	0	493161	0.0514422
PI_603154	9586709	0	487388	0.05084
PI_549031	9586709	0	486694	0.0507676
PI_567651	9586709	0	486139	0.0507097
PI_518664	9586709	0	485900	0.0506848
Holladay	9586709	0	485672	0.050661
PI_548415	9586709	0	471669	0.0492003
Maverick	9586709	0	471500	0.0491827
PI_424608A	9586709	0	467225	0.0487367
PI_603170	9586709	0	466836	0.0486962
PI_567336B	9586709	0	459720	0.0479539
PI_437655	9586709	0	453787	0.047335
PI_567230	9586709	0	450707	0.0470137
PI_591539	9586709	0	446703	0.0465961
PI_196175	9586709	0	445639	0.0464851
IA3023	9586709	0	438946	0.0457869
PI_567343	9586709	0	437814	0.0456689
PI_404198B	9586709	0	437148	0.0455994
PI_437654	9586709	0	436304	0.0455113
PI_567719	9586709	0	435885	0.0454676
PI_407729	9586709	0	426662	0.0445056
S10-11227	9586709	0	420714	0.0438851
PI_547862	9586709	0	417076	0.0435056
PI_552538	9586709	0	416379	0.0434329
PI_612611	9586709	0	407593	0.0425165
PI_603175	9586709	0	405250	0.0422721
PI_408105A	9586709	0	404898	0.0422353
PI_603176A	9586709	0	401294	0.0418594
PI_398593	9586709	0	401021	0.0418309
V71-370	9586709	0	399004	0.0416205
PI_567357	9586709	0	392932	0.0409872
PI_090763	9586709	0	387648	0.040436
PI_567383	9586709	0	382374	0.0398858
PI_417091	9586709	0	376137	0.0392353
PI_658519	9586709	0	372212	0.0388258
PI_647086	9586709	0	364963	0.0380697
PI_567354	9586709	0	357772	0.0373196
PI_209332	9586709	0	356067	0.0371417
PI_594512A	9586709	0	340047	0.0354707
S07-5049	9586709	0	326270	0.0340336
PI_437690	9586709	0	325071	0.0339085
PI_438471	9586709	0	321254	0.0335104
PI_437169B	9586709	0	309452	0.0322793
PI_507354	9586709	0	306052	0.0319246
PI_407788A	9586709	0	293657	0.0306317
PI_416937	9586709	0	290771	0.0303306
PI_089772	9586709	0	286489	0.029884
PI_424298	9586709	0	282040	0.0294199
S05-11482	9586709	0	277939	0.0289921
PI_548316	9586709	0	221089	0.023062
PI_495017C	9586709	0	211987	0.0221126
PI_548402	9586709	0	207864	0.0216825
PI_542044	9586709	0	204515	0.0213332
PI_404166	9586709	0	181477	0.0189301
PI_548402A	9586709	0	164940	0.0172051
M92-220.x1.04.WT_	9586709	0	80837	0.0084322
