INDV	N_DATA	N_GENOTYPES_FILTERED	N_MISS	F_MISS
FN0163764.04.01.M4_	5622782	0	390036	0.0693671
FN0164160.03.02.01.01.M6_	5622782	0	371487	0.0660682
FN0172932.09.08.01.M5_	5622782	0	365395	0.0649847
FN0112228.06.02.01.M5_	5622782	0	358860	0.0638225
FN0190069.01.01.M4_	5622782	0	354965	0.0631298
FN0170228.07.35.01.M5_	5622782	0	352205	0.0626389
FN0171501.01.02.M4_	5622782	0	351758	0.0625594
FN0131633.06.01.M4_	5622782	0	351222	0.0624641
FN0173217.03.09.01.M5_	5622782	0	349091	0.0620851
FN0170712.06.41.01.M5_	5622782	0	345665	0.0614758
FN0112885.02.06.03.M5_	5622782	0	338665	0.0602309
FN0175143.05.06.01.M5_	5622782	0	335820	0.0597249
FN0175501.x2.02.01.M5_	5622782	0	326446	0.0580577
FN0164472.x3.06.01.M5_	5622782	0	322321	0.0573241
1R36C56Cdbbr418MN13_	5622782	0	298673	0.0531184
R52C55Dadr564MN13_	5622782	0	282781	0.050292
RP8DM5r597MN13_	5622782	0	281001	0.0499754
2012CM8F030P02_	5622782	0	278625	0.0495529
2012CM7F040P07_	5622782	0	277880	0.0494204
R18C55Dhaar437MN13_	5622782	0	277456	0.049345
2012BM7F223_	5622782	0	276124	0.0491081
5R39C03Dr334cMN12_	5622782	0	276105	0.0491047
6R40C84Dar41dMNB12_	5622782	0	275741	0.04904
2012CM8F030P07_	5622782	0	275234	0.0489498
2012CM8F030P09_	5622782	0	275199	0.0489436
2012DM8F016P02_	5622782	0	266822	0.0474537
2012CM7F040P05_	5622782	0	264274	0.0470006
4R30C22acr626MN13_	5622782	0	262323	0.0466536
2012CM7F040P06_	5622782	0	248558	0.0442055
2012BM7F068_	5622782	0	219591	0.0390538
